Sample	Total_reads	Mapped_reads	Mapped_reads_rate	Properly_paired_mapped_reads	Properly_paired_mapped_reads_rate
A0577	9105359	9105359	100.00%	8926360	98.71%
A0578	10119884	10119884	100.00%	9911128	98.64%
A0579	8317080	8317080	100.00%	8136012	98.57%
A0580	9992699	9992699	100.00%	9788136	98.65%
A0581	9458960	9458960	100.00%	9264348	98.63%
A0582	9344640	9344640	100.00%	9153812	98.63%
A0583	9969301	9969301	100.00%	9760966	98.60%
A0584	9501878	9501878	100.00%	9308757	98.63%
A0585	8467721	8467721	100.00%	8306171	98.75%
A0586	9046147	9046147	100.00%	8864694	98.65%
A0587	9202281	9202281	100.00%	9012594	98.65%
A0588	10635399	10635399	100.00%	10430823	98.73%
A0589	9956246	9956246	100.00%	9761252	98.69%
A0590	8512378	8512378	100.00%	8341578	98.70%
A0591	10527286	10527286	100.00%	10318879	98.72%
A0592	9042262	9042262	100.00%	8861155	98.66%
A0593	9625322	9625322	100.00%	9434527	98.73%
A0594	9927086	9927086	100.00%	9719277	98.61%
A0595	8998084	8998084	100.00%	8803738	98.57%
A0596	11119723	11119723	100.00%	10897137	98.68%
A0597	10476621	10476621	100.00%	10267246	98.67%
A0598	9470091	9470091	100.00%	9282324	98.71%
A0599	10778082	10778082	100.00%	10551228	98.62%
A0600	10330060	10330060	100.00%	10119480	98.65%
A0601	8923413	8923413	100.00%	8742649	98.65%
A0602	9802418	9802418	100.00%	9595387	98.61%
A0603	9041777	9041777	100.00%	8851314	98.62%
A0604	10277945	10277945	100.00%	10072595	98.71%
A0605	9418332	9418332	100.00%	9221937	98.63%
A0606	9259348	9259348	100.00%	9068544	98.63%
A0607	10180605	10180605	100.00%	9973498	98.64%
A0608	9347572	9347572	100.00%	9157625	98.64%
A0609	8817779	8817779	100.00%	8641482	98.69%
A0610	9298795	9298795	100.00%	9102280	98.59%
A0611	9314006	9314006	100.00%	9117070	98.63%
A0612	10826569	10826569	100.00%	10606036	98.65%
A0613	9617173	9617173	100.00%	9418967	98.63%
A0614	9464675	9464675	100.00%	9267523	98.58%
A0615	10358675	10358675	100.00%	10146300	98.64%
A0616	9721636	9721636	100.00%	9528301	98.69%
A0617	9456108	9456108	100.00%	9275567	98.76%
A0618	9567179	9567179	100.00%	9364308	98.58%
A0619	9045477	9045477	100.00%	8861107	98.69%
A0620	10696853	10696853	100.00%	10489915	98.78%
A0621	9404987	9404987	100.00%	9216629	98.68%
A0622	9584763	9584763	100.00%	9385111	98.67%
A0623	9610728	9610728	100.00%	9404723	98.56%
A0624	8864326	8864326	100.00%	8679349	98.60%
A0625	8966808	8966808	100.00%	8789398	98.73%
A0626	9711982	9711982	100.00%	9514447	98.69%
A0627	10054419	10054419	100.00%	9855687	98.73%
A0628	9582944	9582944	100.00%	9396043	98.72%
A0629	9358854	9358854	100.00%	9166731	98.63%
A0630	9558262	9558262	100.00%	9369096	98.72%
A0631	9181679	9181679	100.00%	8992464	98.68%
A0632	8943481	8943481	100.00%	8763478	98.67%
A0633	8730501	8730501	100.00%	8545524	98.62%
A0634	8546251	8546251	100.00%	8366565	98.63%
A0635	12383717	12383717	100.00%	12133564	98.71%
A0636	11913712	11913712	100.00%	11688183	98.80%
A0637	12181249	12181249	100.00%	11944300	98.74%
A0638	11969452	11969452	100.00%	11722088	98.67%
A0639	11529950	11529950	100.00%	11299190	98.69%
A0640	11593660	11593660	100.00%	11365510	98.71%
A0641	10204243	10204243	100.00%	9996960	98.69%
A0642	10441112	10441112	100.00%	10230158	98.69%
A0643	10828274	10828274	100.00%	10611060	98.69%
A0644	10842129	10842129	100.00%	10634994	98.74%
A0645	11016727	11016727	100.00%	10800287	98.73%
A0646	10944181	10944181	100.00%	10730291	98.71%
