Sample	Total_reads	Mapped_reads	Mapped_reads_rate	Properly_paired_mapped_reads	Properly_paired_mapped_reads_rate
A0577	10772208	10710771	99.43%	10325534	97.38%
A0578	11845099	11783279	99.48%	11330910	97.27%
A0579	9798520	9742521	99.43%	9357540	97.12%
A0580	11768838	11709307	99.49%	11266556	97.38%
A0581	11075769	11010974	99.41%	10594998	97.22%
A0582	11003122	10942070	99.45%	10526882	97.22%
A0583	11773250	11710911	99.47%	11256150	97.23%
A0584	11232843	11174576	99.48%	10740512	97.22%
A0585	10111673	10056440	99.45%	9697620	97.43%
A0586	10754524	10696989	99.47%	10288004	97.24%
A0587	10909108	10852532	99.48%	10445424	97.32%
A0588	12709788	12639799	99.45%	12180268	97.36%
A0589	11822785	11722773	99.15%	11295538	97.05%
A0590	10078026	10022048	99.44%	9651824	97.33%
A0591	12481881	12418260	99.49%	11960972	97.38%
A0592	10539105	10486859	99.50%	10097942	97.34%
A0593	11339695	11283464	99.50%	10867108	97.45%
A0594	11710180	11652817	99.51%	11197878	97.24%
A0595	10623021	10558769	99.40%	10135230	97.06%
A0596	13082736	13009313	99.44%	12510266	97.28%
A0597	12260259	12193438	99.45%	11732588	97.28%
A0598	11137035	11080603	99.49%	10664646	97.36%
A0599	12877513	12803197	99.42%	12306242	97.19%
A0600	12226859	12158141	99.44%	11694518	97.25%
A0601	10561880	10508049	99.49%	10103422	97.28%
A0602	11562148	11502318	99.48%	11058292	97.24%
A0603	10632897	10571656	99.42%	10166938	97.21%
A0604	12298421	12225295	99.41%	11769196	97.29%
A0605	11133413	11064662	99.38%	10632642	97.13%
A0606	10942489	10874054	99.37%	10453936	97.12%
A0607	11984510	11909668	99.38%	11449618	97.15%
A0608	11032224	10953353	99.29%	10546296	97.11%
A0609	10350128	10292163	99.44%	9904712	97.30%
A0610	11067379	11003879	99.43%	10576712	97.17%
A0611	10997000	10912201	99.23%	10494950	97.03%
A0612	12785674	12691036	99.26%	12207644	97.08%
A0613	11328591	11243094	99.25%	10810690	97.02%
A0614	11385612	11295998	99.21%	10859542	96.94%
A0615	12141686	12051174	99.25%	11603668	97.09%
A0616	11426747	11344233	99.28%	10946222	97.26%
A0617	11259108	11157993	99.10%	10778500	97.18%
A0618	11321492	11176942	98.72%	10757036	96.50%
A0619	10789912	10733641	99.48%	10343750	97.45%
A0620	12738205	12677858	99.53%	12242828	97.64%
A0621	11160140	11104525	99.50%	10704894	97.46%
A0622	11288221	11229695	99.48%	10805526	97.35%
A0623	11624474	11491690	98.86%	11044516	96.59%
A0624	10922705	10521122	96.32%	10097092	93.99%
A0625	10784819	10709067	99.30%	10325246	97.28%
A0626	11555672	11499904	99.52%	11087554	97.49%
A0627	12012445	11978386	99.72%	11549508	97.70%
A0628	11334417	11304952	99.74%	10898110	97.69%
A0629	11029263	10998142	99.72%	10584304	97.51%
A0630	11072725	11047676	99.77%	10649996	97.74%
A0631	10818258	10796562	99.80%	10404748	97.73%
A0632	10548568	10528757	99.81%	10145426	97.71%
A0633	10339086	10313198	99.75%	9920330	97.59%
A0634	10039565	10011341	99.72%	9639484	97.60%
A0635	14573631	14545150	99.80%	14026788	97.79%
A0636	13902246	13876853	99.82%	13391504	97.88%
A0637	14226271	14202097	99.83%	13686934	97.81%
A0638	14096844	14065751	99.78%	13531370	97.64%
A0639	13675086	13648114	99.80%	13168822	97.79%
A0640	13729445	13686431	99.69%	13181210	97.62%
A0641	12125253	12092854	99.73%	11654034	97.66%
A0642	12282437	12248097	99.72%	11801938	97.63%
A0643	12822519	12795983	99.79%	12337376	97.76%
A0644	12767587	12742274	99.80%	12288760	97.81%
A0645	12782679	12760459	99.83%	12310972	97.84%
A0646	12763967	12737244	99.79%	12287254	97.77%
