ID	YearClass	SamplingDayNumber	Current	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	BirthMonth	BirthMonth2019Start
A0001	2019	157	Kuroshio	K2019	NA	NA	Kanagawa	NA	NA	NA	NA
A0002	2019	157	Kuroshio	K2019	NA	NA	Kanagawa	NA	NA	NA	NA
A0003	2019	157	Kuroshio	K2019	NA	NA	Kanagawa	NA	NA	NA	NA
A0004	2019	157	Kuroshio	K2019	NA	NA	Kanagawa	NA	NA	NA	NA
A0005	2019	157	Kuroshio	K2019	NA	NA	Kanagawa	NA	NA	NA	NA
A0006	2019	165	Kuroshio	K2019	115.2	21.52	Kanagawa	132	33	2	2
A0007	2019	165	Kuroshio	K2019	113.35	20.13	Kanagawa	129	36	2	2
A0008	2019	165	Kuroshio	K2019	122.49	26.93	Kanagawa	142	23	1	1
A0009	2019	165	Kuroshio	K2019	117.25	21.23	Kanagawa	135	30	1	1
A0010	2019	165	Kuroshio	K2019	154.06	51.48	Kanagawa	191	-26	12	-1
A0011	2019	165	Kuroshio	K2019	124.13	25.99	Kanagawa	144	21	1	1
A0012	2019	165	Kuroshio	K2019	109.62	18.07	Kanagawa	124	41	2	2
A0013	2019	165	Kuroshio	K2019	92.57	10.14	Kanagawa	103	62	3	3
A0014	2019	165	Kuroshio	K2019	113.61	19.19	Kanagawa	130	35	2	2
A0015	2019	165	Kuroshio	K2019	114.24	20.18	Kanagawa	131	34	2	2
A0016	2019	165	Kuroshio	K2019	105.48	15.12	Kanagawa	119	46	2	2
A0017	2019	165	Kuroshio	K2019	110.69	19.89	Kanagawa	126	39	2	2
A0018	2019	165	Kuroshio	K2019	96.57	12.03	Kanagawa	108	57	2	2
A0019	2019	165	Kuroshio	K2019	125.99	26.11	Kanagawa	147	18	1	1
A0020	2019	165	Kuroshio	K2019	169.23	65.24	Kanagawa	219	-54	11	-2
A0021	2019	165	Kuroshio	K2019	92.88	10.67	Kanagawa	103	62	3	3
A0022	2019	165	Kuroshio	K2019	96.39	11.58	Kanagawa	108	57	2	2
A0023	2019	165	Kuroshio	K2019	115.56	22.04	Kanagawa	132	33	2	2
A0024	2019	165	Kuroshio	K2019	92.19	11.75	Kanagawa	103	62	3	3
A0025	2019	165	Kuroshio	K2019	102.98	15.15	Kanagawa	116	49	2	2
A0026	2019	144	Kuroshio	K2019	139.23	40.28	Mie	167	-23	12	-1
A0027	2019	144	Kuroshio	K2019	142.39	40.89	Mie	172	-28	12	-1
A0028	2019	144	Kuroshio	K2019	136.68	32.84	Mie	163	-19	12	-1
A0029	2019	144	Kuroshio	K2019	135.65	37.59	Mie	161	-17	12	-1
A0030	2019	144	Kuroshio	K2019	184.82	84.28	Mie	251	-107	9	9
A0031	2019	144	Kuroshio	K2019	178.47	86.05	Mie	238	-94	9	9
