ID	YearClass	SamplingDayNumber	Current	ThreeStocks	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	Subpop	Latitude	Longitude
A0001	2019	157 	Kuroshio	PAJ	2019K	NA	NA	Kanagawa	NA	NA	EgawaFS	NA	NA
A0002	2019	157 	Kuroshio	PAJ	2019K	NA	NA	Kanagawa	NA	NA	EgawaFS	NA	NA
A0003	2019	157 	Kuroshio	PAJ	2019K	NA	NA	Kanagawa	NA	NA	EgawaFS	NA	NA
A0004	2019	157 	Kuroshio	PAJ	2019K	NA	NA	Kanagawa	NA	NA	EgawaFS	NA	NA
A0005	2019	157 	Kuroshio	PAJ	2019K	NA	NA	Kanagawa	NA	NA	EgawaFS	NA	NA
A0006	2019	165 	Kuroshio	PAJ	2019K	115.20	21.52	Kanagawa	142	23	Odawara	35.227	139.168
A0007	2019	165 	Kuroshio	PAJ	2019K	113.35	20.13	Kanagawa	139	26	Odawara	35.227	139.168
A0008	2019	165 	Kuroshio	PAJ	2019K	122.49	26.93	Kanagawa	157	8	Odawara	35.227	139.168
A0009	2019	165 	Kuroshio	PAJ	2019K	117.25	21.23	Kanagawa	147	18	Odawara	35.227	139.168
A0010	2019	165 	Kuroshio	PAJ	2019K	154.06	51.48	Kanagawa	NA	NA	Odawara	35.227	139.168
A0011	2019	165 	Kuroshio	PAJ	2019K	124.13	25.99	Kanagawa	161	4	Odawara	35.227	139.168
A0012	2019	165 	Kuroshio	PAJ	2019K	109.62	18.07	Kanagawa	132	33	Odawara	35.227	139.168
A0013	2019	165 	Kuroshio	PAJ	2019K	92.57	10.14	Kanagawa	105	60	Odawara	35.227	139.168
A0014	2019	165 	Kuroshio	PAJ	2019K	113.61	19.19	Kanagawa	139	26	Odawara	35.227	139.168
A0015	2019	165 	Kuroshio	PAJ	2019K	114.24	20.18	Kanagawa	141	24	Odawara	35.227	139.168
A0016	2019	165 	Kuroshio	PAJ	2019K	105.48	15.12	Kanagawa	125	40	Odawara	35.227	139.168
A0017	2019	165 	Kuroshio	PAJ	2019K	110.69	19.89	Kanagawa	134	31	Odawara	35.227	139.168
A0018	2019	165 	Kuroshio	PAJ	2019K	96.57	12.03	Kanagawa	111	54	Odawara	35.227	139.168
A0019	2019	165 	Kuroshio	PAJ	2019K	125.99	26.11	Kanagawa	165	0	Odawara	35.227	139.168
A0020	2019	165 	Kuroshio	PAJ	2019K	169.23	65.24	Kanagawa	NA	NA	Odawara	35.227	139.168
A0021	2019	165 	Kuroshio	PAJ	2019K	92.88	10.67	Kanagawa	105	60	Odawara	35.227	139.168
