DRA,BioSample,Sample_ID
DRR302421,SAMD00326114,A0001
DRR302422,SAMD00326115,A0002
DRR302423,SAMD00326116,A0003
DRR302424,SAMD00326117,A0004
DRR302425,SAMD00326118,A0005
DRR302426,SAMD00326119,A0006
DRR302427,SAMD00326120,A0007
DRR302428,SAMD00326121,A0008
DRR302429,SAMD00326122,A0009
DRR302430,SAMD00326123,A0010
DRR302431,SAMD00326124,A0011
DRR302432,SAMD00326125,A0012
DRR302433,SAMD00326126,A0013
DRR302434,SAMD00326127,A0014
DRR302435,SAMD00326128,A0015
DRR302436,SAMD00326129,A0016
DRR302437,SAMD00326130,A0017
DRR302438,SAMD00326131,A0018
DRR302439,SAMD00326132,A0019
DRR302440,SAMD00326133,A0020
DRR302441,SAMD00326134,A0021
DRR302442,SAMD00326135,A0022
DRR302443,SAMD00326136,A0023
DRR302444,SAMD00326137,A0024
DRR302445,SAMD00326138,A0025
DRR302446,SAMD00326139,A0026
DRR302447,SAMD00326140,A0027
DRR302448,SAMD00326141,A0028
DRR302449,SAMD00326142,A0029
DRR302450,SAMD00326143,A0030
DRR302451,SAMD00326144,A0031
DRR302452,SAMD00326145,A0032
DRR302453,SAMD00326146,A0033
DRR302454,SAMD00326147,A0034
DRR302455,SAMD00326148,A0035
DRR302456,SAMD00326149,A0036
DRR302457,SAMD00326150,A0037
DRR302458,SAMD00326151,A0038
DRR302459,SAMD00326152,A0039
DRR302460,SAMD00326153,A0040
DRR302461,SAMD00326154,A0041
DRR302462,SAMD00326155,A0042
DRR302463,SAMD00326156,A0043
DRR302464,SAMD00326157,A0044
DRR302465,SAMD00326158,A0045
DRR302466,SAMD00326159,A0046
DRR302467,SAMD00326160,A0047
DRR302468,SAMD00326161,A0048
DRR302469,SAMD00326162,A0049
DRR302470,SAMD00326163,A0050
DRR302471,SAMD00326164,A0051
DRR302472,SAMD00326165,A0052
DRR302473,SAMD00326166,A0053
DRR302474,SAMD00326167,A0054
DRR302475,SAMD00326168,A0055
DRR302476,SAMD00326169,A0056
DRR302477,SAMD00326170,A0057
DRR302478,SAMD00326171,A0058
DRR302479,SAMD00326172,A0059
DRR302480,SAMD00326173,A0060
DRR302481,SAMD00326174,A0061
DRR302482,SAMD00326175,A0062
DRR302483,SAMD00326176,A0063
DRR302484,SAMD00326177,A0064
DRR302485,SAMD00326178,A0065
DRR302486,SAMD00326179,A0066
DRR302487,SAMD00326180,A0067
DRR302488,SAMD00326181,A0068
DRR302489,SAMD00326182,A0069
DRR302490,SAMD00326183,A0070
DRR302491,SAMD00326184,A0071
DRR302492,SAMD00326185,A0072
DRR302493,SAMD00326186,A0073
DRR302494,SAMD00326187,A0074
DRR302495,SAMD00326188,A0075
DRR302496,SAMD00326189,A0076
DRR302497,SAMD00326190,A0077
DRR302498,SAMD00326191,A0078
DRR302499,SAMD00326192,A0079
DRR302500,SAMD00326193,A0080
DRR302501,SAMD00326194,A0081
DRR302502,SAMD00326195,A0082
DRR302503,SAMD00326196,A0083
DRR302504,SAMD00326197,A0084
DRR302505,SAMD00326198,A0085
DRR302506,SAMD00326199,A0086
DRR302507,SAMD00326200,A0087
DRR302508,SAMD00326201,A0088
DRR302509,SAMD00326202,A0089
DRR302510,SAMD00326203,A0090
DRR302511,SAMD00326204,A0091
DRR302512,SAMD00326205,A0092
DRR302513,SAMD00326206,A0093
DRR302514,SAMD00326207,A0094
DRR302515,SAMD00326208,A0095
DRR302516,SAMD00326209,A0096
DRR302517,SAMD00326210,A0097
DRR302518,SAMD00326211,A0098
DRR302519,SAMD00326212,A0099
DRR302520,SAMD00326213,A0100
DRR302521,SAMD00326214,A0101
DRR302522,SAMD00326215,A0102
DRR302523,SAMD00326216,A0103
DRR302524,SAMD00326217,A0104
DRR302525,SAMD00326218,A0105
DRR302526,SAMD00326219,A0106
DRR302527,SAMD00326220,A0107
DRR302528,SAMD00326221,A0108
DRR302529,SAMD00326222,A0109
DRR302530,SAMD00326223,A0110
DRR302531,SAMD00326224,A0111
DRR302532,SAMD00326225,A0112
DRR302533,SAMD00326226,A0113
DRR302534,SAMD00326227,A0114
DRR302535,SAMD00326228,A0115
DRR302536,SAMD00326229,A0116
DRR302537,SAMD00326230,A0117
DRR302538,SAMD00326231,A0118
DRR302539,SAMD00326232,A0119
DRR302540,SAMD00326233,A0120
DRR302541,SAMD00326234,A0121
DRR302542,SAMD00326235,A0122
DRR302543,SAMD00326236,A0123
DRR302544,SAMD00326237,A0124
DRR302545,SAMD00326238,A0125
DRR302546,SAMD00326239,A0126
