Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0001,4345469,4345469,100.00%,4327513,100.00%,4278935,98.88%
A0002,4237291,4237291,100.00%,4211101,100.00%,4142531,98.37%
A0003,4254092,4254092,100.00%,4229526,100.00%,4162536,98.42%
A0004,4317535,4317535,100.00%,4289129,100.00%,4216657,98.31%
A0005,4248991,4248991,100.00%,4224164,100.00%,4154381,98.35%
A0006,4250205,4250205,100.00%,4222689,100.00%,4150454,98.29%
A0007,4151719,4151719,100.00%,4125510,100.00%,4052570,98.23%
A0008,4251370,4251370,100.00%,4222650,100.00%,4144486,98.15%
A0009,4213047,4213047,100.00%,4187189,100.00%,4113161,98.23%
A0010,4055418,4055418,100.00%,4029426,100.00%,3957986,98.23%
A0011,4043961,4043961,100.00%,4018725,100.00%,3946355,98.20%
A0012,4177962,4177962,100.00%,4152330,100.00%,4076002,98.16%
A0013,4149415,4149415,100.00%,4122912,100.00%,4047212,98.16%
A0014,4057753,4057753,100.00%,4031617,100.00%,3957631,98.16%
A0015,4079193,4079193,100.00%,4053430,100.00%,3978189,98.14%
A0016,4419302,4419302,100.00%,4391980,100.00%,4312055,98.18%
A0017,4468547,4468547,100.00%,4440646,100.00%,4362209,98.23%
A0018,4112474,4112474,100.00%,4085747,100.00%,4015147,98.27%
A0019,3987752,3987752,100.00%,3962816,100.00%,3893948,98.26%
A0020,4141157,4141157,100.00%,4115066,100.00%,4040893,98.20%
A0021,4118294,4118294,100.00%,4091932,100.00%,4018414,98.20%
A0022,3842330,3842330,100.00%,3817543,100.00%,3745808,98.12%
A0023,4044897,4044897,100.00%,4018949,100.00%,3946181,98.19%
A0024,4187209,4187209,100.00%,4160487,100.00%,4084842,98.18%
A0025,4485022,4485022,100.00%,4457433,100.00%,4382337,98.32%
A0026,4216369,4216369,100.00%,4190972,100.00%,4120316,98.31%
A0027,3733207,3733207,100.00%,3709901,100.00%,3642467,98.18%
A0028,3953251,3953251,100.00%,3928065,100.00%,3853282,98.10%
A0029,3831881,3831881,100.00%,3807819,100.00%,3734166,98.07%
A0030,3869098,3869098,100.00%,3844731,100.00%,3770206,98.06%
A0031,4176934,4176934,100.00%,4150454,100.00%,4072479,98.12%
A0032,3955930,3955930,100.00%,3931384,100.00%,3856068,98.08%
A0033,4044172,4044172,100.00%,4018175,100.00%,3943400,98.14%
