Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0001,5000114,4979284,99.58%,4937612,99.58%,4862756,98.07%
A0002,4848117,4824663,99.52%,4757806,99.51%,4638434,97.01%
A0003,4890132,4866491,99.52%,4800187,99.51%,4683262,97.09%
A0004,5076247,5051330,99.51%,4975941,99.50%,4845608,96.90%
A0005,4911789,4889702,99.55%,4824455,99.54%,4703100,97.04%
A0006,4985975,4960624,99.49%,4887195,99.48%,4757770,96.85%
A0007,4868700,4845263,99.52%,4769125,99.51%,4636524,96.74%
A0008,4972482,4948402,99.52%,4869678,99.51%,4728670,96.63%
A0009,4956498,4924499,99.35%,4852121,99.34%,4718360,96.61%
A0010,4742187,4710680,99.34%,4640889,99.33%,4512212,96.57%
A0011,4731704,4701004,99.35%,4634258,99.34%,4506414,96.60%
A0012,4909756,4876774,99.33%,4804376,99.32%,4668556,96.51%
A0013,4849155,4817081,99.34%,4745188,99.33%,4609318,96.48%
A0014,4766700,4734527,99.33%,4662555,99.31%,4529460,96.48%
A0015,4792948,4760620,99.33%,4689810,99.32%,4557364,96.51%
A0016,5184822,5150136,99.33%,5076308,99.32%,4935256,96.56%
A0017,5212218,5188038,99.54%,5111716,99.53%,4974210,96.85%
A0018,4800586,4777327,99.52%,4704717,99.51%,4577216,96.81%
A0019,4654928,4633442,99.54%,4565384,99.53%,4445662,96.92%
A0020,4868990,4845687,99.52%,4773443,99.51%,4639822,96.73%
A0021,4788305,4766603,99.55%,4697134,99.54%,4568506,96.81%
A0022,4475541,4452396,99.48%,4384463,99.47%,4257064,96.58%
A0023,4729216,4706363,99.52%,4635623,99.51%,4506172,96.73%
A0024,4872397,4849632,99.53%,4776179,99.53%,4643176,96.75%
A0025,5236869,5209169,99.47%,5131994,99.46%,4997222,96.85%
A0026,4969637,4942185,99.45%,4869068,99.44%,4738874,96.78%
A0027,4419664,4392482,99.38%,4326864,99.38%,4202502,96.52%
A0028,4679943,4652516,99.41%,4580405,99.40%,4443190,96.43%
A0029,4520712,4495088,99.43%,4427462,99.42%,4292364,96.39%
A0030,4583409,4555114,99.38%,4481337,99.37%,4342514,96.29%
A0031,4991848,4965004,99.46%,4889268,99.45%,4746056,96.54%
A0032,4650972,4623029,99.40%,4556053,99.39%,4421118,96.45%
A0033,4731623,4706527,99.47%,4636840,99.46%,4503590,96.60%
A0034,4622816,4599229,99.49%,4530501,99.48%,4404362,96.71%
A0035,4289735,4266398,99.46%,4196711,99.45%,4066616,96.36%
A0036,4404940,4380790,99.45%,4312556,99.44%,4182398,96.44%
A0037,4422211,4398340,99.46%,4330309,99.45%,4193042,96.30%
A0038,4443663,4419855,99.46%,4350032,99.46%,4213944,96.34%
A0039,4655365,4630698,99.47%,4561197,99.46%,4426004,96.51%
A0040,4477840,4453955,99.47%,4386161,99.46%,4251004,96.39%
A0041,5048659,5021447,99.46%,4944872,99.45%,4807356,96.69%
A0042,5228258,5201224,99.48%,5124816,99.48%,4988308,96.83%
A0043,4720664,4694521,99.45%,4624189,99.44%,4495198,96.66%
A0044,5528090,5500631,99.50%,5418355,99.50%,5277590,96.91%
A0045,5347833,5320058,99.48%,5244333,99.47%,5107086,96.87%
A0046,5307653,5278363,99.45%,5200290,99.44%,5061646,96.79%
A0047,5260867,5231599,99.44%,5153644,99.44%,5013002,96.72%
A0048,4886988,4857988,99.41%,4780828,99.40%,4633478,96.33%
A0049,5502263,5476301,99.53%,5395272,99.52%,5253754,96.91%
A0050,4509074,4483858,99.44%,4413978,99.43%,4287844,96.59%
A0051,4654606,4631123,99.50%,4563111,99.49%,4438248,96.77%
A0052,4694572,4669317,99.46%,4597989,99.45%,4468296,96.65%
A0053,4816996,4793517,99.51%,4723459,99.51%,4592068,96.74%
A0054,4587788,4563073,99.46%,4492143,99.45%,4363400,96.60%
A0055,4526136,4499908,99.42%,4429402,99.41%,4298096,96.46%
A0056,4639147,4611805,99.41%,4541756,99.40%,4412286,96.57%
A0057,5286323,5258637,99.48%,5180554,99.47%,5042586,96.82%
A0058,4369088,4344031,99.43%,4277261,99.42%,4153278,96.54%
A0059,5677281,5653001,99.57%,5566416,99.57%,5423510,97.01%
A0060,5053035,5029375,99.53%,4954544,99.52%,4815146,96.72%
A0061,4494192,4470426,99.47%,4402046,99.46%,4274450,96.58%
A0062,4957494,4932268,99.49%,4858572,99.48%,4726480,96.78%
A0063,4658729,4636426,99.52%,4565965,99.51%,4436788,96.70%
A0064,4308168,4285730,99.48%,4218286,99.47%,4091914,96.49%
A0065,6166333,6134461,99.48%,6044726,99.48%,5892802,96.98%
A0066,5724051,5695368,99.50%,5609755,99.49%,5467752,96.97%
A0067,4555761,4529301,99.42%,4461550,99.41%,4333862,96.57%
A0068,7048507,7017107,99.55%,6912956,99.55%,6746866,97.16%
A0069,4535772,4512712,99.49%,4443248,99.48%,4316224,96.64%
A0070,5094242,5063980,99.41%,4985332,99.40%,4838618,96.47%
A0071,4462418,4436503,99.42%,4369559,99.41%,4237954,96.42%
A0072,4697423,4670770,99.43%,4600419,99.42%,4468510,96.57%
A0073,5225071,5195972,99.44%,5119745,99.43%,4983948,96.80%
A0074,5000566,4971029,99.41%,4895875,99.40%,4755872,96.56%
A0075,9064697,9032208,99.64%,8921059,99.64%,8780752,98.07%
A0076,7090116,7057686,99.54%,6950208,99.54%,6779524,97.09%
