file,num_seqs,sum_len
A0001_R1.fastq.gz,2659740,398961000
A0001_R2.fastq.gz,2659740,398961000
A0002_R1.fastq.gz,2558888,383833200
A0002_R2.fastq.gz,2558888,383833200
A0003_R1.fastq.gz,2581649,387247350
A0003_R2.fastq.gz,2581649,387247350
A0004_R1.fastq.gz,2682528,402379200
A0004_R2.fastq.gz,2682528,402379200
A0005_R1.fastq.gz,2593120,388968000
A0005_R2.fastq.gz,2593120,388968000
A0006_R1.fastq.gz,2636052,395407800
A0006_R2.fastq.gz,2636052,395407800
A0007_R1.fastq.gz,2566515,384977250
A0007_R2.fastq.gz,2566515,384977250
A0008_R1.fastq.gz,2614461,392169150
A0008_R2.fastq.gz,2614461,392169150
A0009_R1.fastq.gz,2640722,396108300
A0009_R2.fastq.gz,2640722,396108300
A0010_R1.fastq.gz,2516431,377464650
A0010_R2.fastq.gz,2516431,377464650
A0011_R1.fastq.gz,2516479,377471850
A0011_R2.fastq.gz,2516479,377471850
A0012_R1.fastq.gz,2605869,390880350
A0012_R2.fastq.gz,2605869,390880350
A0013_R1.fastq.gz,2569107,385366050
A0013_R2.fastq.gz,2569107,385366050
A0014_R1.fastq.gz,2531167,379675050
A0014_R2.fastq.gz,2531167,379675050
A0015_R1.fastq.gz,2539670,380950500
A0015_R2.fastq.gz,2539670,380950500
A0016_R1.fastq.gz,2752721,412908150
A0016_R2.fastq.gz,2752721,412908150
A0017_R1.fastq.gz,2768212,415231800
A0017_R2.fastq.gz,2768212,415231800
A0018_R1.fastq.gz,2533605,380040750
A0018_R2.fastq.gz,2533605,380040750
A0019_R1.fastq.gz,2464236,369635400
A0019_R2.fastq.gz,2464236,369635400
A0020_R1.fastq.gz,2566314,384947100
A0020_R2.fastq.gz,2566314,384947100
A0021_R1.fastq.gz,2529249,379387350
A0021_R2.fastq.gz,2529249,379387350
A0022_R1.fastq.gz,2361399,354209850
A0022_R2.fastq.gz,2361399,354209850
A0023_R1.fastq.gz,2495332,374299800
A0023_R2.fastq.gz,2495332,374299800
A0024_R1.fastq.gz,2573018,385952700
A0024_R2.fastq.gz,2573018,385952700
A0025_R1.fastq.gz,2815750,422362500
A0025_R2.fastq.gz,2815750,422362500
A0026_R1.fastq.gz,2663026,399453900
A0026_R2.fastq.gz,2663026,399453900
A0027_R1.fastq.gz,2369113,355366950
A0027_R2.fastq.gz,2369113,355366950
A0028_R1.fastq.gz,2499796,374969400
A0028_R2.fastq.gz,2499796,374969400
A0029_R1.fastq.gz,2415594,362339100
A0029_R2.fastq.gz,2415594,362339100
A0030_R1.fastq.gz,2450385,367557750
A0030_R2.fastq.gz,2450385,367557750
A0031_R1.fastq.gz,2658125,398718750
A0031_R2.fastq.gz,2658125,398718750
A0032_R1.fastq.gz,2489733,373459950
A0032_R2.fastq.gz,2489733,373459950
A0033_R1.fastq.gz,2519414,377912100
A0033_R2.fastq.gz,2519414,377912100
A0034_R1.fastq.gz,2451892,367783800
A0034_R2.fastq.gz,2451892,367783800
A0035_R1.fastq.gz,2283805,342570750
A0035_R2.fastq.gz,2283805,342570750
A0036_R1.fastq.gz,2335613,350341950
A0036_R2.fastq.gz,2335613,350341950
A0037_R1.fastq.gz,2349319,352397850
A0037_R2.fastq.gz,2349319,352397850
A0038_R1.fastq.gz,2359911,353986650
A0038_R2.fastq.gz,2359911,353986650
A0039_R1.fastq.gz,2475641,371346150
A0039_R2.fastq.gz,2475641,371346150
A0040_R1.fastq.gz,2383704,357555600
A0040_R2.fastq.gz,2383704,357555600
A0041_R1.fastq.gz,2707942,406191300
A0041_R2.fastq.gz,2707942,406191300
A0042_R1.fastq.gz,2793384,419007600
A0042_R2.fastq.gz,2793384,419007600
A0043_R1.fastq.gz,2530284,379542600
A0043_R2.fastq.gz,2530284,379542600
A0044_R1.fastq.gz,2960416,444062400
A0044_R2.fastq.gz,2960416,444062400
A0045_R1.fastq.gz,2863984,429597600
A0045_R2.fastq.gz,2863984,429597600
A0046_R1.fastq.gz,2841193,426178950
A0046_R2.fastq.gz,2841193,426178950
A0047_R1.fastq.gz,2818237,422735550
A0047_R2.fastq.gz,2818237,422735550
A0048_R1.fastq.gz,2610332,391549800
A0048_R2.fastq.gz,2610332,391549800
A0049_R1.fastq.gz,2920735,438110250
A0049_R2.fastq.gz,2920735,438110250
A0050_R1.fastq.gz,2376462,356469300
A0050_R2.fastq.gz,2376462,356469300
A0051_R1.fastq.gz,2454816,368222400
A0051_R2.fastq.gz,2454816,368222400
A0052_R1.fastq.gz,2468699,370304850
A0052_R2.fastq.gz,2468699,370304850
A0053_R1.fastq.gz,2543117,381467550
A0053_R2.fastq.gz,2543117,381467550
A0054_R1.fastq.gz,2411221,361683150
A0054_R2.fastq.gz,2411221,361683150
A0055_R1.fastq.gz,2376429,356464350
A0055_R2.fastq.gz,2376429,356464350
A0056_R1.fastq.gz,2444676,366701400
