ID	YearClass	DayNumber	Current	YearClassStock	FL	Weight	Prefecture
A0001	2019	157 	Kuroshio	2019K	NA	NA	Kanagawa
A0002	2019	157 	Kuroshio	2019K	NA	NA	Kanagawa
A0003	2019	157 	Kuroshio	2019K	NA	NA	Kanagawa
A0004	2019	157 	Kuroshio	2019K	NA	NA	Kanagawa
A0005	2019	157 	Kuroshio	2019K	NA	NA	Kanagawa
A0006	2019	165 	Kuroshio	2019K	115.20	21.52	Kanagawa
A0007	2019	165 	Kuroshio	2019K	113.35	20.13	Kanagawa
A0008	2019	165 	Kuroshio	2019K	122.49	26.93	Kanagawa
A0009	2019	165 	Kuroshio	2019K	117.25	21.23	Kanagawa
A0010	2019	165 	Kuroshio	2019K	154.06	51.48	Kanagawa
A0011	2019	165 	Kuroshio	2019K	124.13	25.99	Kanagawa
A0012	2019	165 	Kuroshio	2019K	109.62	18.07	Kanagawa
A0013	2019	165 	Kuroshio	2019K	92.57	10.14	Kanagawa
A0014	2019	165 	Kuroshio	2019K	113.61	19.19	Kanagawa
A0015	2019	165 	Kuroshio	2019K	114.24	20.18	Kanagawa
A0016	2019	165 	Kuroshio	2019K	105.48	15.12	Kanagawa
A0017	2019	165 	Kuroshio	2019K	110.69	19.89	Kanagawa
A0018	2019	165 	Kuroshio	2019K	96.57	12.03	Kanagawa
A0019	2019	165 	Kuroshio	2019K	125.99	26.11	Kanagawa
A0020	2019	165 	Kuroshio	2019K	169.23	65.24	Kanagawa
A0021	2019	165 	Kuroshio	2019K	92.88	10.67	Kanagawa
A0022	2019	165 	Kuroshio	2019K	96.39	11.58	Kanagawa
A0023	2019	165 	Kuroshio	2019K	115.56	22.04	Kanagawa
A0024	2019	165 	Kuroshio	2019K	92.19	11.75	Kanagawa
A0025	2019	165 	Kuroshio	2019K	102.98	15.15	Kanagawa
A0026	2019	144 	Kuroshio	2019K	139.23	40.28	Mie
A0027	2019	144 	Kuroshio	2019K	142.39	40.89	Mie
A0028	2019	144 	Kuroshio	2019K	136.68	32.84	Mie
A0029	2019	144 	Kuroshio	2019K	135.65	37.59	Mie
A0030	2019	144 	Kuroshio	2019K	184.82	84.28	Mie
A0031	2019	144 	Kuroshio	2019K	178.47	86.05	Mie
A0032	2019	144 	Kuroshio	2019K	140.33	41.75	Mie
A0033	2019	144 	Kuroshio	2019K	153.61	52.05	Mie
A0034	2019	144 	Kuroshio	2019K	144.43	44.37	Mie
A0035	2019	144 	Kuroshio	2019K	129.17	30.41	Mie
A0036	2019	144 	Kuroshio	2019K	149.58	49.63	Mie
A0037	2019	144 	Kuroshio	2019K	176.21	81.52	Mie
A0038	2019	144 	Kuroshio	2019K	119.58	22.78	Mie
A0039	2019	144 	Kuroshio	2019K	140.30	36.68	Mie
A0040	2019	144 	Kuroshio	2019K	138.64	41.32	Mie
A0041	2019	144 	Kuroshio	2019K	150.26	49.58	Mie
A0042	2019	142 	Kuroshio	2019K	103.44	13.51	Mie
A0043	2019	142 	Kuroshio	2019K	168.67	69.81	Mie
A0044	2019	142 	Kuroshio	2019K	163.97	62.08	Mie
