Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0001,5000122,4979292,99.58%,4937612,99.58%,4862608,98.07%
A0002,4848079,4824628,99.52%,4757809,99.51%,4638012,97.00%
A0003,4890134,4866493,99.52%,4800187,99.51%,4683198,97.08%
A0004,5076206,5051285,99.51%,4975937,99.50%,4845366,96.89%
A0005,4911738,4889654,99.55%,4824458,99.54%,4702964,97.04%
A0006,4985974,4960622,99.49%,4887194,99.48%,4757632,96.85%
A0007,4868700,4845263,99.52%,4769125,99.51%,4636672,96.75%
A0008,4972509,4948430,99.52%,4869679,99.51%,4728568,96.62%
A0009,4956492,4924494,99.35%,4852122,99.34%,4718058,96.60%
A0010,4742180,4710674,99.34%,4640890,99.33%,4512396,96.58%
A0011,4731708,4701010,99.35%,4634260,99.34%,4506254,96.60%
A0012,4909755,4876775,99.33%,4804378,99.32%,4668348,96.51%
A0013,4849164,4817088,99.34%,4745186,99.33%,4608556,96.47%
A0014,4766722,4734552,99.33%,4662558,99.31%,4529764,96.49%
A0015,4792905,4760585,99.33%,4689818,99.32%,4556996,96.50%
A0016,5184806,5150121,99.33%,5076309,99.32%,4935262,96.56%
A0017,5212233,5188057,99.54%,5111720,99.53%,4974470,96.86%
A0018,4800609,4777350,99.52%,4704717,99.51%,4576964,96.81%
A0019,4654921,4633437,99.54%,4565386,99.53%,4446288,96.94%
A0020,4868993,4845683,99.52%,4773436,99.51%,4639248,96.72%
A0021,4788308,4766609,99.55%,4697137,99.54%,4568996,96.82%
A0022,4475547,4452403,99.48%,4384464,99.47%,4256832,96.58%
A0023,4729217,4706365,99.52%,4635624,99.51%,4506088,96.73%
A0024,4872402,4849638,99.53%,4776180,99.53%,4643694,96.76%
A0025,5236870,5209173,99.47%,5131997,99.46%,4996558,96.84%
A0026,4969618,4942168,99.45%,4869070,99.44%,4738848,96.78%
A0027,4419667,4392488,99.39%,4326867,99.38%,4202070,96.51%
A0028,4679925,4652502,99.41%,4580409,99.40%,4443410,96.43%
A0029,4520715,4495087,99.43%,4427458,99.42%,4292046,96.38%
A0030,4583397,4555098,99.38%,4481333,99.37%,4342644,96.30%
A0031,4991855,4965006,99.46%,4889263,99.45%,4745782,96.54%
A0032,4650967,4623027,99.40%,4556056,99.39%,4420616,96.44%
A0033,4731608,4706514,99.47%,4636842,99.46%,4503498,96.60%
A0034,4622793,4599207,99.49%,4530502,99.48%,4404266,96.71%
A0035,4289736,4266400,99.46%,4196712,99.45%,4066452,96.36%
A0036,4404947,4380802,99.45%,4312561,99.44%,4182296,96.44%
A0037,4422209,4398340,99.46%,4330311,99.45%,4192856,96.29%
A0038,4443677,4419869,99.46%,4350032,99.46%,4213708,96.34%
A0039,4655399,4630733,99.47%,4561198,99.46%,4425906,96.51%
A0040,4477822,4453935,99.47%,4386159,99.46%,4251380,96.40%
A0041,5048678,5021472,99.46%,4944878,99.45%,4806594,96.67%
A0042,5228237,5201201,99.48%,5124814,99.48%,4987992,96.82%
